Entity,Flights,change (%),change (avg. daily),Flights,change (%),change (avg. daily)
EUROCONTROL Member States,106396,-0.882,-26417,2115863,-0.354,-9589
DFS (Germany),32194,-0.875,-7537,601622,-0.36,-2801
NATS (UK),20831,-0.9,-6283,489404,-0.356,-2236
DSNA (France),19006,-0.933,-8801,590743,-0.389,-3108
MUAC (EUROCONTROL),18524,-0.88,-4545,372091,-0.353,-1681
Avinor (Norway),15371,-0.667,-1025,141790,-0.236,-362
DHMI (Turkey),11121,-0.903,-3459,273201,-0.364,-1290
ENAV (Italy),10945,-0.926,-4544,291245,-0.41,-1672
ENAIRE (Spain),9819,-0.947,-5791,383074,-0.386,-1992
LFV (Sweden),9706,-0.845,-1766,163116,-0.33,-664
HungaroControl (EC),8808,-0.871,-1988,156840,-0.357,-720
Austro Control,8454,-0.906,-2730,206112,-0.338,-868
PANSA (Poland),8398,-0.877,-2001,168489,-0.326,-674
HCAA (Greece),8259,-0.87,-1835,135150,-0.308,-498
BULATSA (Bulgaria),8082,-0.875,-1888,152094,-0.35,-678
Skyguide (Switzerland),8004,-0.928,-3422,239648,-0.384,-1235
ROMATSA (Romania),7922,-0.855,-1560,134718,-0.35,-600
IAA (Ireland),7712,-0.857,-1538,129195,-0.323,-510
skeyes (Belgium),7531,-0.86,-1541,127010,-0.343,-549
ANS CR (Czech Republic),7192,-0.895,-2042,145030,-0.417,-856
NAVIAIR (Denmark),6554,-0.883,-1647,138907,-0.347,-609
LVNL (Netherlands),6404,-0.88,-1569,129104,-0.342,-554
LPS (Slovak Republic),5268,-0.87,-1172,86325,-0.415,-507
SMATSA (Serbia),4875,-0.915,-1760,120319,-0.335,-500
LGS (Latvia),4182,-0.828,-670,56858,-0.35,-253
Oro navigacija (Lithuania),4038,-0.813,-586,52817,-0.309,-195
Croatia Control,3977,-0.925,-1641,104329,-0.358,-480
DCAC Cyprus,3689,-0.892,-1021,82586,-0.302,-295
EANS (Estonia),3653,-0.808,-512,42894,-0.38,-217
ANS Finland,3098,-0.86,-633,60568,-0.309,-223
Sakaeronavigatsia (Georgia),2530,-0.731,-229,33714,-0.203,-71
NAV Portugal (Continental),2412,-0.957,-1771,128089,-0.37,-623
Slovenia Control,2391,-0.917,-879,53655,-0.394,-289
UkSATSE (Ukraine),1817,-0.917,-669,51741,-0.331,-211
Israel AA,1694,-0.902,-521,37662,-0.378,-189
ONDA (Morocco),1620,-0.957,-1213,97202,-0.357,-446
Albcontrol (Albania),1576,-0.901,-477,34029,-0.326,-136
M-NAV (North Macedonia),1557,-0.902,-479,32108,-0.301,-114
MATS (Malta),1363,-0.876,-320,25101,-0.332,-103
ANA LUX (Luxembourg),1227,-0.822,-189,16877,-0.317,-65
ARMATS (Armenia),725,-0.837,-124,13793,-0.345,-60
MoldATSA (Moldova),341,-0.915,-123,9283,-0.342,-40